feature_set,classifier,trial_number,state,kappa,k_best,use_smote,mlp_hidden1,mlp_hidden2,mlp_alpha,mlp_lr
B,MLP,94,PRUNED,0.9578568013895514,161,False,102,35,1.2700094550041116e-05,0.0010071361088920087
B,MLP,95,PRUNED,0.9512258580494957,170,True,230,10,1.2987399182394833e-05,0.0027544669684450105
B,MLP,96,PRUNED,0.9357549042832336,36,True,115,67,0.0010871632835049371,0.0034691133813788584
B,MLP,97,PRUNED,0.9567456392227016,137,True,244,8,0.006636032897760166,0.0006526337245010381
B,MLP,98,COMPLETE,0.9627496359106982,158,True,70,20,0.02857246318240785,0.00404826379562187
B,MLP,99,PRUNED,0.9423080980244297,118,True,51,18,0.023649118837655667,0.0008026213126119158
B,MLP,100,PRUNED,0.9489953493587615,149,True,67,24,0.01826796173736864,0.003512773015029673
B,MLP,101,PRUNED,0.9467692314489902,158,False,220,20,5.020391323859697e-06,0.0006865865553418769
B,MLP,102,PRUNED,0.9567445844966074,155,False,238,8,1.2085709590149389e-06,0.0028772106184890116
B,MLP,103,PRUNED,0.9578394194057631,167,True,70,12,0.0016826621411128388,0.0019625996166966297
B,MLP,104,PRUNED,0.9467854421848444,133,True,58,12,0.0021796567279794964,0.02736101460972982
B,MLP,105,PRUNED,0.946711680519805,147,True,98,21,0.053467259054688125,0.01512501268513874
B,MLP,106,PRUNED,0.9312804058570756,44,True,192,24,0.07363459030166528,0.0003453285007322223
B,MLP,107,COMPLETE,0.9680543611557111,170,True,72,21,0.08421227212870719,0.0016049429515677036
B,MLP,108,PRUNED,0.957837076325964,163,True,57,24,0.09654461338604778,0.0006738336269984516
B,MLP,109,COMPLETE,0.965394302699821,162,True,110,14,0.08971425540004939,0.0011066988743714103
B,MLP,110,PRUNED,0.9512199671492244,166,True,114,19,0.034207215344847886,0.0021897891555697703
B,MLP,111,PRUNED,0.9446180122106201,65,False,165,18,0.0007115247420653081,0.000782009184398268
B,MLP,112,PRUNED,0.9467500674257587,150,True,75,12,0.021925941394456683,0.0007733908985783426
B,MLP,113,COMPLETE,0.9627259941777975,160,True,58,14,0.055601244180730876,0.0015511929906386571
B,MLP,114,PRUNED,0.9422934021666862,150,False,242,23,1.7403624925387055e-05,0.006215744613979289
B,MLP,115,PRUNED,0.9401512100998544,42,True,22,26,0.0018266762716822342,0.00044539127946953877
B,MLP,116,PRUNED,0.9544937403324852,155,False,62,25,0.0867201360073454,0.00179499980493184
B,MLP,117,COMPLETE,0.9680519258591799,169,False,187,12,0.024096764487127248,0.0009385475694299457
B,MLP,118,PRUNED,0.9578487997626988,152,False,173,12,0.05312543729093256,0.0014894952195624814
B,MLP,119,PRUNED,0.9589479061466293,158,True,121,10,0.0967690923712017,0.004588700137811973
B,MLP,120,PRUNED,0.9467662840424713,145,False,198,23,0.0022121435727443647,0.0005466782187276817
B,MLP,121,PRUNED,0.9512037779335865,164,True,33,24,0.07831350119595946,0.009342122930569952
B,MLP,122,PRUNED,0.9401056260126862,147,False,237,22,0.04047735289996979,0.00010143354013834371
B,MLP,123,PRUNED,0.9489274943095768,147,False,123,11,0.0022773583275653483,0.0004626154215858698
B,MLP,124,PRUNED,0.9489953493587615,169,True,255,9,1.2636890598349738e-06,0.03859978932242642
B,MLP,125,COMPLETE,0.9636266112414276,162,True,177,16,0.02287491281223345,0.00043100221266233825
B,MLP,126,PRUNED,0.9378750855243867,151,True,190,20,0.004472591274109831,0.0004631277979835185
B,MLP,127,PRUNED,0.9334375916332714,148,True,170,17,0.026179098510163566,0.00014328272375967643
B,MLP,128,PRUNED,0.9567318519167024,154,False,244,13,0.002526178901678056,0.0020500786456842113
B,MLP,129,COMPLETE,0.9662682737422846,132,True,76,19,0.07677591832729155,0.0023332431276435325
B,MLP,130,PRUNED,0.9512037833190026,137,True,82,66,0.046426040935260586,0.0012403394005363502
B,MLP,131,PRUNED,0.9467854363156964,153,True,130,20,0.037384248857867945,0.0016583994550758334
B,MLP,132,PRUNED,0.9556346140747503,124,True,84,24,0.07597256198588567,0.0015590306024813082
B,MLP,133,PRUNED,0.9378780280292136,169,False,106,21,0.00689136750793096,0.0004457944444978962
B,MLP,134,PRUNED,0.9290663264099812,43,True,36,98,0.025393457485971258,0.0009131323132538534
B,MLP,135,PRUNED,0.9533664623915779,156,True,154,9,0.02665614716488841,0.0006991978784502499
B,MLP,136,PRUNED,0.9489909184621939,155,False,20,113,1.1510673066577235e-06,0.006694771297040596
B,MLP,137,PRUNED,0.9467676696205853,44,False,66,22,0.0005075959412191766,0.02062239990801283
B,MLP,138,PRUNED,0.9567432893923652,105,True,74,19,0.07113198386620657,0.007738003421002702
B,MLP,139,COMPLETE,0.9680530657692756,159,True,233,16,0.05573766566274768,0.0006426571110632008
B,MLP,140,COMPLETE,0.9636075518961043,147,True,234,27,0.07555175958692369,0.0004906294015407372
B,MLP,141,COMPLETE,0.9671617703150088,144,True,213,18,0.05214766894529308,0.0016381939952528645
B,MLP,142,COMPLETE,0.968939773903449,162,True,225,42,0.06426526316635194,0.0013085755097278348
